Language,Countries,Particularities,Greeting
Okanagan,Montana USA,,Xast lkwkw'ast
Oromo,"Kenya, Somalia",,Nagambulte
Oromo,"Kenya, Somalia",,Garitoli
Ossetian,Georgia,,Dæ raisom khorz
Ossetian,Georgia,,Uæ raisom khorz
Otetela,Lodja Congo-Kinshasa,,Moyo
Paipai,Southern California USA,,Kam'yuli
Palauan,Palau,,Ungil tutau
Pali,India,,Suppabhaatam te
Papiamentu,"Dutch Antilles, Aruba",,Bon dia
Phorhépecha,Michoacán Mexico,,Na erántsku
Phorhépecha,Michoacán Mexico,,Nar erándesk
Phorhépecha,Michoacán Mexico,,Nats erántsku
Phorhépecha,Michoacán Mexico,,Kárinsini
Pijin,Solomon Islands,,Moning
Pijin,Solomon Islands,,Gudfala mone
Pijin,Solomon Islands,,Mone
Pipil,El Salvador,,Yehyek tunal
Pipil,El Salvador,,Bwenas dias
Plattdeutsch,Germany,,G'n morje
Polish,Poland,,Dzien dobry
Portuguese,"Portugal, Brazil",,Bom dia
Puluwat,Micronesia,,Nesor állim
Quechua Ayacuchano,Ayacucho Peru,,Winus diyas
Quechua Ayacuchano,Ayacucho Peru,,Allin p'unchay
Quechua Cochabambino,Bolivia,,Allin p'unchaj
Quechua Cuzqueño,Cuzco Peru,,Wenos días
Quechua Cuzqueño,Cuzco Peru,,Allin p'unchaw
Quiché,Guatemala,,Sakiric
Quichua,Ecuador,,Alli punzha
Quichua,Ecuador,,Alli puncha
Romanian,Romania,,Bunã dimineata
Romansch,Switzerland,,Bun di
Russian,Russia,,Dobroye utro
Rutoro,Uganda,,Oreire ota?
Sakao,Espiritu Santo Island Vanuatu,,Segren vogvog
Sangha,Mali,,Agapo
Saramaccan,Suriname,,I weki no
Saramaccan,Suriname,,Nááfu
Sardinian,Italy,,Bonas dies
Sarnami,"Suriname, Holland",,Subh ba khair
Savonian,Ylä-Savo Finland,,Hyvvee huomenta
Scots,Scotland,,Guid mornin
Sepedi,South Africa,,Robala gabotse
Serbian,"Bosnia, Yugoslavia",,Dobro jutro
Serrere,"Senegal, Gambia",,Ndio ko yong
Sesotho,"Lesotho, South Africa",,Mmoro
Setswana,"South Africa, Botswana",,O tsogile jang
Shambaa,Tanzania,,Onga mahundo
Shanghaiese,Shanghai China,,Han zhou
Shingazidja,Comoros,,Barza husha
Shipibo,Peru,,Hacum ya mucuryi
Shuri,Okinawa Japan,,Ukimi soo chii
Silozi,"Zambia, Zimbabwe, Botswana",,Mu lumele
Silozi,"Zambia, Zimbabwe, Botswana",,Mu lumele shangwe
Silozi,"Zambia, Zimbabwe, Botswana",,Mu zuhile
Silozi,"Zambia, Zimbabwe, Botswana",,Mu zuhile cwani
Slovak,Slovakia,,Dobré ráno
Slovenian,Slovenia,,Dobro jutro
Somali,"Somalia, Ethiopia",,Subax wanaagsan
Spanish,"America, Spain",,Buenos días
Sranan,Suriname,,Gu morgu
Sûdovian,Baltic reigon,,Kailas anksteinai
Sundanese,Indonesia,,Wilujeng enjing
Susu,Guinea,,Tena mari
Tagalog,Philippines,,Magandang umaga
Tagalog,Philippines,,Magandang umaga po
Tamil,Tamil Nadu India,,Vanakkam
Tatar,"Russia, China",,Kheerle irte
Tatar,"Russia, China",,Xeyirli irte
Telugu,India,,Suprabhaatam
Telugu,India,,Shobhodayam
Tetum,East Timor,,Dader diak
Tetum,East Timor,,Dadeer kmanek
Thai,Thailand,,Sawatdi torn chao
Tibetan,"China, Nepal, India",,Nga-to delek
Tlingit,"Canada, USA",,Juk'e-ri-tsu-tat
Tok Pisin,Papua New Guinea,,Moning
Tok Pisin,Papua New Guinea,,Monin
Tok Pisin,Papua New Guinea,,Monin tru
Trobes Tokples,Trobriand Papua New Guinea,,Bwena kau kwau
Tsonga,South Africa,,Avusheni
Turkish,"Turkey, Northern Cyprus",,Günaydin
Turkmen,Turkmenistan,,Ertiriniz hajïrlï bolsun
Udmurt,Russia,,Ziech chuknaen
Ukrainian,Ukraine,,Dobri ranok
Ukrainian,Ukraine,,Dobroho ranki
Ute,Colorado and Utah USA,,Ati'wichgusak
Uvean,Wallis and Futuna,,Malo te ma'uli
Valencian,Spain,,Bon dia
Venda,South Africa,,Ndi matsheloni
Veps,Western Russia,,Hüväd homendest
Vietnamese,Vietnam,,Chào buổi sáng
Võru,Võrumaa Estonia,,Tereq hummogust
Võru,Võrumaa Estonia,,Tereh hummogust
Votic,Russia,,Üvä oomni
Waali,Northwestern Ghana,,Ansomaa
Welsh,Wales,,Bore da
Wolof,West Africa,,Jama nga fanaan
Wolof,West Africa,,Yamanga fanin
Wolof,West Africa,,Naka subaci
Xhosa,South Africa,,Bhota
Yao,"Malawi, Tanzania, Mozambique",,Subayeedi
Yao,"Malawi, Tanzania, Mozambique",,Kuceele
Yiddish,"Russia, USA",,Ah gut morgen
Zapotec,Villa Alta Mexico,,Padiull
Zapotec,Yatzachi Mexico,,Padiox
Zapotec,Yatzachi Mexico,,Padioxei
Zapotec,Yulalag Mexico,,Padiuzhe
Zarma,"Niger, Nigeria, Burkina Faso",,Matinkeni
Zjerma,Niger,,Aran kani baani
Zulu,Southern Africa,,Umhlala gahle
